object_number,is_highlight,is_public_domain,object_id,gallery_number,department,title,culture,object_date,object_begin_date,object_end_date,medium,credit_line
"34.113.4a, b",False,True,42480,204,Asian Art,Covered jar,China,12th–13th century,1100,1299,Porcelaneous ware with carved and full-relief decoration under celadon glaze (Longquan ware),"Fletcher Fund, 1934"
26.292.82,False,True,42482,204,Asian Art,"Pillow in Shape of Reclining Woman

",China,12th–13th century,1100,1299,"Porcelain with incised and carved decoration under celadon glaze (Jingdezhen Qingbai ware)

","Gift of Mrs. Samuel T. Peters, 1926"
"34.113.3a, b",False,True,42484,204,Asian Art,Incense Burner in Shape of Lion (one of a pair),China,early 14th century,1300,1333,Porcelain with brown and raised decoration under celadon glaze (Jingdezhen Qingbai ware),"Fletcher Fund, 1934"
1985.239.2,False,True,42489,225,Asian Art,Eight Views of the Xiao and Xiang Rivers,Japan,16th century,1500,1573,One of a triptych of hanging scrolls; ink and color on paper,"Purchase, Harris Brisbane Dick Fund; Mary Livingston Griggs and Mary Griggs Burke Foundation Gifts; Gifts of Major General R. B. Woodruff, C. M. Owen, Elizabeth B. Gerhard, and Mr. and Mrs. Teiji Ito; Bequests of Stephen Whitney Phoenix and Bruce Webster, Fletcher Fund, and The Howard Mansfield Collection, Gift of Howard Mansfield, by exchange; and funds from various donors, 1985"
1985.239.3,False,True,42493,225,Asian Art,Eight Views of the Xiao and Xiang Rivers,Japan,16th century,1500,1573,Hanging scroll; ink and color on paper,"Purchase, Harris Brisbane Dick Fund; Mary Livingston Griggs and Mary Griggs Burke Foundation Gifts; Gifts of Major General R. B. Woodruff, C. M. Owen, Elizabeth B. Gerhard, and Mr. and Mrs. Teiji Ito; Bequests of Stephen Whitney Phoenix and Bruce Webster, Fletcher Fund, and The Howard Mansfield Collection, Gift of Howard Mansfield, by exchange; and funds from various donors, 1985"
1987.247.5,False,True,42494,220,Asian Art,Stem bowl with lotus pattern,China,mid-14th century,1334,1366,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),"Gift of Stanley Herzman, 1987"
1991.253.35,False,True,42495,204,Asian Art,"Foliated plate with rocks, plants, and melons

",China,14th century,1300,1366,"Porcelain painted in underglaze cobalt blue (Jingdezhen ware)


","Gift of Stanley Herzman, in memory of Adele Herzman, 1991"
1975.99,False,True,42497,204,Asian Art,"Dish with dragon amid waves

",China,,1426,1435,"Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware)

","Gift of Mrs. Richard E. Linburn, in memory of Richard E. Linburn, 1975"
1991.253.36,False,True,42498,204,Asian Art,Monk’s cap ewer,China,early 15th century,1400,1433,Porcelain with incised hidden (anhua) decoration under transparent glaze (Jingdezhen ware),"Gift of Stanley Herzman, in memory of Adele Herzman, 1991"
1991.253.37,False,True,42505,204,Asian Art,Flask with Medallion,China,early 15th century,1400,1433,"Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware)

","Gift of Stanley Herzman, in memory of Adele Herzman, 1991"
1981.81.1,False,True,42509,204,Asian Art,"Dish with Blossoming Plum and Crescent Moon

",China,mid- to late 15th century,1434,1499,"Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware)

","Gift of Alan and Simone Hartman, 1981"
1984.361,False,True,42513,204,Asian Art,"Altar Bowl with Winged Animals among Waves

",China,mid-15th century,1434,1466,"Porcelain painted with cobalt blue under and red enamel over transparent glaze (Jingdezhen ware)

","Gift of Alan and Simone Hartman, 1984"
25.216.3,False,True,42525,204,Asian Art,Bowl with Dragons,China,early 16th century,1500,1533,"Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware)

","Fletcher Fund, 1925"
63.155.2,False,True,42529,204,Asian Art,Bowl with Lotuses,China,early 16th century,1500,1533,"Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware)

","Harris Brisbane Dick Fund, 1963"
